leaf_code,category_path,l1
02.001.001.001,安防 / 安全标识 / 标识胶带 / 反光警示胶带,安防
02.001.001.002,安防 / 安全标识 / 标识胶带 / 5S管理胶带,安防
02.001.001.003,安防 / 安全标识 / 标识胶带 / 地标警示胶带,安防
02.001.001.004,安防 / 安全标识 / 标识胶带 / 反光胶带,安防
02.001.001.005,安防 / 安全标识 / 标识胶带 / 道镐,安防
02.001.001.006,安防 / 安全标识 / 标识胶带 / 9％农用具,安防
02.001.002.001,安防 / 安全标识 / 安全标识牌 / 国标标识,安防
02.001.002.002,安防 / 安全标识 / 安全标识牌 / IMO船用安全标识,安防
02.001.002.003,安防 / 安全标识 / 安全标识牌 / OSHA安全标识,安防
02.001.002.004,安防 / 安全标识 / 安全标识牌 / 消防逃生标识,安防
02.001.002.005,安防 / 安全标识 / 安全标识牌 / 告示牌,安防
02.001.002.006,安防 / 安全标识 / 安全标识牌 / 其他标识,安防
02.001.002.007,安防 / 安全标识 / 安全标识牌 / 管道标识,安防
02.001.002.008,安防 / 安全标识 / 安全标识牌 / 环境保护标识,安防
02.001.002.009,安防 / 安全标识 / 安全标识牌 / 危化品标识,安防
02.001.002.010,安防 / 安全标识 / 安全标识牌 / 地贴,安防
02.001.002.011,安防 / 安全标识 / 安全标识牌 / 挂牌,安防
02.001.002.012,安防 / 安全标识 / 安全标识牌 / 检查记录卡,安防
02.001.002.013,安防 / 安全标识 / 安全标识牌 / 设备状态标识,安防
02.001.002.014,安防 / 安全标识 / 安全标识牌 / 横幅旗帜,安防
02.001.002.015,安防 / 安全标识 / 安全标识牌 / 拱门路引,安防
02.001.002.016,安防 / 安全标识 / 安全标识牌 / 风向袋/标,安防
02.001.002.017,安防 / 安全标识 / 安全标识牌 / 门牌,安防
02.001.002.018,安防 / 安全标识 / 安全标识牌 / 宣传牌/栏,安防
02.002.001.001,安防 / 化学品存储及泄露处理 / 化学品储存 / 安全柜,安防
02.002.001.002,安防 / 化学品存储及泄露处理 / 化学品储存 / 气瓶柜,安防
02.002.001.003,安防 / 化学品存储及泄露处理 / 化学品储存 / 紧急器材柜,安防
